zip,rent,sqm_rent,living_space,offer_year,const_year,flattype,interior_qual
13595,1020.0,8.31973898858075,122.6,2019,1907,apartment,normal
12527,950.0,13.911260799531409,68.29,2019,2019,apartment,sophisticated
10625,780.0,27.74813233724653,28.11,2018,2018,ground_floor,sophisticated
12555,459.0,8.7796480489671,52.28,2019,1909,apartment,sophisticated
12629,360.34,9.500131821776957,37.93,2019,1990,apartment,sophisticated
14199,1875.0,12.5,150.0,2018,1961,maisonette,sophisticated
10717,550.0,12.5,44.0,2018,1960,apartment,normal
12439,588.06,8.999999999999998,65.34,2019,1995,apartment,normal
10783,1285.0,16.992859032002116,75.62,2018,2018,apartment,sophisticated
10717,1300.0,15.070716438673776,86.26,2018,1890,roof_storey,sophisticated
12683,725.0,8.503401360544217,85.26,2018,1998,apartment,normal
10997,904.86,9.835434782608695,92.0,2019,1890,apartment,normal
13467,495.0,10.53191489361702,47.0,2019,1973,apartment,normal
13359,941.09,13.500071725720845,69.71,2019,1925,apartment,simple
10115,1399.0,27.485265225933205,50.9,2019,2016,apartment,luxury
10117,1813.8,15.0,120.92,2019,1900,roof_storey,normal
13357,980.0,10.53763440860215,93.0,2019,1900,apartment,normal
13409,479.0,9.392156862745098,51.0,2019,1900,apartment,sophisticated
13593,590.0,7.195121951219512,82.0,2019,1992,apartment,sophisticated
10179,2500.0,19.23076923076923,130.0,2019,2014,apartment,sophisticated
13051,379.67,5.380048179112938,70.57,2018,1986,apartment,normal
10717,1054.0,17.0,62.0,2019,1956,apartment,luxury
12524,755.9,12.3999343832021,60.96,2019,2018,apartment,sophisticated
12555,800.0,10.5290866017373,75.98,2019,1923,loft,sophisticated
10557,1799.0,16.789547363509097,107.15,2019,2018,apartment,sophisticated
14109,1489.0,14.047169811320755,106.0,2019,1996,ground_floor,sophisticated
10623,4480.0,17.5,256.0,2019,1902,apartment,sophisticated
12051,1670.0,17.995689655172413,92.8,2018,2018,apartment,luxury
10117,1887.0,25.966698775285536,72.67,2019,1994,terraced_flat,sophisticated
12169,734.75,16.500112283853582,44.53,2019,2019,ground_floor,sophisticated
10629,1280.94,14.524776051706544,88.19,2019,1994,apartment,sophisticated
13585,362.0,7.541666666666667,48.0,2019,1910,apartment,sophisticated
14195,954.0,15.9,60.0,2019,2019,apartment,luxury
14163,775.9,14.500093440478416,53.51,2019,1906,apartment,sophisticated
14169,2500.0,20.0,125.0,2019,2006,apartment,sophisticated
10559,900.0,15.254237288135593,59.0,2018,1987,apartment,normal
14109,1200.0,11.320754716981131,106.0,2018,1900,roof_storey,sophisticated
12621,820.0,11.08108108108108,74.0,2019,1934,apartment,normal
13591,1165.5,10.5,111.0,2019,2019,roof_storey,sophisticated
12489,818.0,12.584615384615384,65.0,2019,2016,other,sophisticated
13355,560.0,27.317073170731707,20.5,2019,2017,apartment,sophisticated
12157,1140.87,12.389986967854039,92.08,2019,1989,apartment,normal
10367,850.0,16.311648436000766,52.11,2019,2019,apartment,sophisticated
12623,1150.0,12.273212379935966,93.7,2019,2020,ground_floor,sophisticated
13347,470.0,24.102564102564102,19.5,2019,2018,apartment,sophisticated
14193,6500.0,15.740404407313234,412.95,2019,2000,roof_storey,luxury
12051,1707.84,18.0,94.88,2019,2019,apartment,sophisticated
12349,524.59,11.000000000000002,47.69,2019,1972,apartment,normal
13593,434.0,10.050949513663733,43.18,2019,1968,apartment,normal
10315,587.02,22.499808355691837,26.09,2019,2018,apartment,sophisticated
10318,2800.0,11.03404791929382,253.76,2019,2012,penthouse,luxury
13593,449.0,7.015625,64.0,2019,2007,apartment,normal
14163,1590.0,18.488372093023255,86.0,2018,1994,penthouse,sophisticated
13593,519.14,6.921866666666666,75.0,2019,1956,apartment,normal
12167,1100.0,13.75,80.0,2018,1910,maisonette,sophisticated
10247,1420.11,15.499999999999998,91.62,2019,2019,apartment,sophisticated
10405,486.0,13.388429752066116,36.3,2019,1901,apartment,sophisticated
13469,619.0,6.731187472814267,91.96,2019,1967,apartment,normal
12459,426.58,14.0,30.47,2018,2018,raised_ground_floor,sophisticated
10245,2049.05,14.300020936562218,143.29,2019,2017,roof_storey,sophisticated
13086,649.0,10.301587301587302,63.0,2019,1937,apartment,normal
12167,1568.0,16.0,98.0,2019,1915,apartment,sophisticated
10423,873.12,16.0,54.57,2018,1900,roof_storey,sophisticated
10247,1490.0,17.949644621129984,83.01,2019,2019,apartment,sophisticated
10969,5700.0,30.64516129032258,186.0,2019,2016,roof_storey,luxury
13156,800.0,9.117848187827674,87.74,2018,1996,apartment,normal
10117,1290.0,18.169014084507044,71.0,2019,2015,apartment,luxury
12557,696.0,7.748830995323982,89.82,2019,1900,apartment,sophisticated
13465,1428.0,10.5,136.0,2019,1998,apartment,sophisticated
14059,472.5,9.45,50.0,2019,1906,apartment,sophisticated
13469,1090.0,9.065202927478376,120.24,2018,1985,apartment,normal
10629,1337.2,20.0,66.86,2019,1963,apartment,sophisticated
10999,1241.75,25.0,49.67,2019,1918,apartment,luxury
10789,2571.13,19.600015246226558,131.18,2019,1986,penthouse,sophisticated
13156,846.77,11.590062961949082,73.06,2018,1996,apartment,sophisticated
12307,1122.0,11.0,102.0,2018,1936,apartment,sophisticated
10115,1513.45,16.389971843188217,92.34,2019,2016,apartment,sophisticated
14050,1996.0,9.459715639810426,211.0,2019,1931,apartment,sophisticated
12167,350.6,7.6300326441784545,45.95,2019,1972,apartment,normal
10315,1298.0,11.0,118.0,2019,2016,apartment,sophisticated
12439,1088.8,17.84625471234224,61.01,2019,2019,roof_storey,sophisticated
12489,1033.0,12.09743529687317,85.39,2018,2017,apartment,sophisticated
12527,614.43,9.0,68.27,2018,1995,roof_storey,normal
14059,1150.0,20.25004402183483,56.79,2019,2018,loft,luxury
10589,1250.0,13.736263736263735,91.0,2019,1905,apartment,sophisticated
10719,4636.35,15.454500000000001,300.0,2019,1912,apartment,luxury
10783,849.0,15.0,56.6,2019,1987,apartment,simple
10787,1233.4,18.575301204819276,66.4,2019,2018,apartment,sophisticated
10829,619.0,13.456521739130435,46.0,2019,1900,apartment,normal
13156,789.39,12.6,62.65,2019,1995,raised_ground_floor,sophisticated
12439,1131.92,11.570274966779108,97.83,2019,2019,apartment,sophisticated
10435,1450.0,18.954248366013072,76.5,2019,1900,apartment,sophisticated
10249,1780.0,17.988883274381,98.95,2019,2019,penthouse,sophisticated
12169,1468.48,13.0,112.96,2018,1900,apartment,sophisticated
12623,850.0,10.493827160493828,81.0,2019,1996,roof_storey,sophisticated
13585,696.0,8.083623693379792,86.1,2019,1900,roof_storey,sophisticated
10315,874.0,10.282352941176471,85.0,2018,2017,terraced_flat,sophisticated
13086,4120.0,19.903381642512077,207.0,2019,2018,penthouse,luxury
10178,3254.0,22.994841353967917,141.51,2018,2012,apartment,luxury
13088,1325.5,25.0,53.02,2019,2019,other,sophisticated
10117,1166.0,22.0,53.0,2019,2016,apartment,sophisticated
12621,730.0,8.839912811818843,82.58,2019,1996,apartment,sophisticated
13158,1680.0,13.228346456692913,127.0,2019,2010,apartment,sophisticated
14165,1705.0,11.0,155.0,2019,1980,maisonette,sophisticated
10178,1990.0,66.33333333333333,30.0,2019,2013,roof_storey,sophisticated
